Message;Alert;Type
100;MEDICA;ALARM
101;TRANSMISOR DE PENDIENTE;ALARM
102;FALLO DE REPORTE;ALARM
110;ALARMA DE FUEGO;ALARM
111;ALARMA EN SENSOR DE HUMO;ALARM
112;COMBUSTIÓN;ALARM
113;FLUJO DEL AGUA;ALARM
114;CALOR;ALARM
115;ESTACIÓN DE JALÓN;ALARM
116;CONDUCTO;ALARM
117;ALARMA EN SENSOR DE LLAMA;ALARM
118;CERCA DE ALARMAR;ALARM
120;ALARMA DE PÁNICO;ALARM
121;CÓDIGO DE AMAGO;ALARM
122;ALARMA 24HRS SILENCIOSA;ALARM
123;ALARMA 24HRS AUDIBLE;ALARM
130;ROBO CON DEMORA;ALARM
131;ALARMA EN PERÍMETRO;ALARM
132;ALARMA EN PIR;ALARM
133;24 HRS.;ALARM
134;ALARMA EN ENTRADA/SALIDA;ALARM
135;ALARMA (AVISO DIA/ALARMA DE NOCHE);ALARM
136;ALARMA EN SENSOR EXTERIOR;ALARM
137;TAMPER;ALARM
138;CERCA DE ALARMAR;ALARM
140;ALARMA GENERAL;ALARM
141;INTERCONEXIÓN POLLING LOOP ABIERTA;ALARM
142;INTERCONEXIÓN POLLING LOOP CORTADA;ALARM
143;ALARMA MODULO EXPANSOR;ALARM
144;ALARMA POR TAMPER EN SENSOR;ALARM
145;ALARMA POR SABOTAJE EN TAPA ECP;ALARM
150;ALARMA 24HRS AUDIBLE/ZONA SUPERVISADA;ALARM
151;DETECCIÓN DE GAS;ALARM
152;REFRIGERACIÓN;ALARM
153;PERDIDA DE CALOR;ALARM
154;SALIDA DEL AGUA;ALARM
155;RUPTURA DE CRISTAL;ALARM
156;PROBLEMA DEL DIA;ALARM
157;NIVEL EN BOTELLA BAJO EL GAS;ALARM
158;TEMPERATURA ALTA;ALARM
159;TEMPERATURA BAJA;ALARM
161;PERDIDA DE FLUJO DE AIRE;ALARM
200;SUPERVISIÓN DE FUEGO;ALARM
201;PRESIÓN BAJA DEL AGUA;ALARM
202;CO2 BAJO;ALARM
203;SENSOR DE LA VÁLVULA DE PUERTA;ALARM
204;NIVEL DEL AGUA BAJO  ;ALARM
205;BOMBA ACTIVADA;ALARM
206;BOMBA AUSENTE;ALARM
300;PROBLEMA EN EL SISTEMA;ALARM
301;PERDIDA DE AC;ALARM
302;BATERÍA BAJA DEL SISTEMA;ALARM
303;CHECAS CABLEADO a.m.;ALARM
304;CHECAS CABLEADO ROM;ALARM
305;REPOSICIÓN DEL SISTEMA;ALARM
306;LA PROGRAMACIÓN DEL PANEL CAMBIO;ALARM
307;FALTA DE LA AUTO PRUEBA;ALARM
308;SISTEMA RESETEADO;ALARM
309;FALTA DE LA PRUEBA DE BATERÍA;ALARM
310;AVERÍA DE TIERRA;ALARM
320;PROBLEMA EN RELEVADORES DE SONIDO;ALARM
321;PROBLEMA EN SIRENA 1;ALARM
322;PROBLEMA EN SIRENA 2;ALARM
323;PROBLEMA EN EL RELEVADOR DE ALARMA;ALARM
324;PROBLEMA EN RELEVADORES;ALARM
325;RELEVADOR INVERTIDO;ALARM
330;ALARMA EN PERIFERIO DEL SISTEMA;ALARM
331;POLLING LOOP ABIERTA;ALARM
332;POLLING LOOP CORTADA;ALARM
333;AVERÍA SUPERVISIÓN MODULO EXPANSIÓN;ALARM
334;REPETIDOR AUSENTE;ALARM
335;PAPEL DE LA IMPRESORA HACIA FUERA;ALARM
336;FALLA EN PERÍMETRO LOCAL;ALARM
350;PROBLEMAS DE COMUNICACIÓN;ALARM
351;FALLO DE TELECOMUNICACIÓN 1;ALARM
352;FALLO DE TELECOMUNICACIÓN 2;ALARM
353;AVERÍA DE MEDIO DE COM, ALTERNATIVO;ALARM
354;FALLO COMUNICACIONES;ALARM
355;SUPERVISIÓN DEL LAZO DE RADIO;ALARM
356;LAZO CENTRAL POLLING;ALARM
370;PROTECCIÓN DE LAZO;ALARM
371;PROTECCIÓN DE LAZO ABIERTA;ALARM
372;PROTECCIÓN DE LAZO CORTA;ALARM
373;AVERÍA LAZO FUEGO;ALARM
380;PROBLEMA ALARMA DE NOCHE/AVERÍA DE DIA;ALARM
381;TAMPER EN SENSOR RF;ALARM
382;TAMPER EN MODULO DE EXPANSIÓN;ALARM
383;TAMPER EN SENSOR;ALARM
384;TRANSMISOR RF CON BAJA BATERÍA;ALARM
400;ARMADO/DESARMADO;ALARM
401;DESARMADO;ALARM
402;DESARMADO POR GRUPO;ALARM
403;DESARMADO AUTOMÁTICO;ALARM
404;DESARMADO TARDE;ALARM
405;DIFERIDO ARMADO/DESARMADO;ALARM
406;CANCELACIÓN POR USUARIO;ALARM
407;ARMADO/DESARMADO REMOTAMENTE;ALARM
408;ARMADO RÁPIDO;ALARM
409;ARMADO/DESARMADO POR KEYSWITCH;ALARM
411;PETICIÓN DE SERVICIO DE REPETICIÓN HECHO;ALARM
412;BUEN ENLACE DE COMUNICACIÓN;ALARM
413;MALO ENLACE DE COMUNICACIÓN;ALARM
414;SISTEMA PARADO;ALARM
415;PARADA DEL SINTONIZADOR (DIALER);ALARM
